flux_component,occurrence_count,likely_classification,proposed_direction,related_state_behavior,complexity,notes
flux:select.option,14,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:dropdown,13,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:textarea,13,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:select,12,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:description,12,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:link,12,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:switch,11,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:tooltip,10,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:radio,9,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:table.cell,8,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:icon.check,8,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.photo,7,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:navlist.group,6,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:navbar.item,6,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:pagination,6,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:table.column,6,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:navlist,5,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:command.item,5,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:tab,5,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:tab.panel,5,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:icon.heart,4,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:input.group,4,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:input.group.suffix,4,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:modal.close,4,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:checkbox,3,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:radio.group,3,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:profile,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:menu.group,2,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:sidebar.toggle,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:main,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:tooltip.content,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:button.group,2,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:navbar,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:card,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:breadcrumbs.item,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:time-picker,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:icon.bars-2,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:table,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:table.rows,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:table.row,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:icon.arrow-top-right-on-square,2,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:command,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:command.input,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:command.items,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:icon.server,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:sidebar,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:header,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:toast,1,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:icon.pencil-square,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.calendar,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:menu.separator,1,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:tab.group,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:tabs,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:breadcrumbs,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.clipboard-document-list,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.document-text,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.user,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.credit-card,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:date-picker,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
flux:icon.camera,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.x-mark,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:icon.plus,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Moderate,"Measured at pinned commit; vendor not inspected"
flux:avatar.group,1,"Likely Free or common primitive (verify public docs)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Mechanical,"Measured at pinned commit; vendor not inspected"
flux:table.columns,1,"Likely advanced/Pro-adjacent (verify public docs; do not open vendor)","MaryUI/daisyUI/Blade/Alpine reimplementation; preserve Livewire bindings","Livewire wire:* / PHP Flux:: where present",Complex,"Measured at pinned commit; vendor not inspected"
